Index	Word	Cluster
452	시교	4
453	사회	1
454	디자인	1
455	짓	1
456	학점느님	4
457	Introduction	0
458	약간	4
459	당	0
460	이번학기	0
461	스트레스	4
462	to	1
463	에이쁠	2
464	시험범위	1
465	제일	2
466	수업중	1
467	차이	0
468	기초공학설계	4
469	풀이	3
470	ㅋ	0
471	위	0
472	요구	3
473	적극적	2
474	기본적	4
475	얼굴	1
476	배분	1
477	철학	3
478	제도	4
479	현장	1
480	잼	2
481	ㄹㅇ	2
482	ㄱ	4
483	소통	2
484	실험	1
485	온라인	0
486	투자	1
487	기	4
488	안됨	3
489	어디	4
490	실수	3
491	결국	2
492	수업방식	4
493	영상	3
494	수업자체	4
495	방법	3
496	감상문	0
497	형	0
498	노트	0
499	유형	3
500	권	1
501	맘	4
502	셤	2
503	재	1
504	챕터	4
505	신입생세미나2(기숙교육프로그램)	4
506	드로잉	2
507	분야	2
508	강조	3
509	법	3
510	리	2
511	실기	2
512	하세	1
513	머리	2
514	씨	0
515	필수	4
516	은	4
517	로	0
518	교	2
519	수강신청	4
520	우사	0
521	발음	1
522	물	1
523	잠	3
524	팀원	2
525	수학	3
526	공학프로그래밍입문	1
527	전달	3
528	셈	2
529	계산	3
530	번째	0
531	페이지	0
532	극	2
533	통수	1
534	이랑	4
535	프리	2
536	가면	3
537	차	1
538	문장	0
539	도	2
540	올	1
541	못	2
542	동영상	0
543	3개	3
544	구	4
545	편애	4
546	종강	4
547	주고	3
548	Daniel	3
549	미분적분학2	2
550	겁	1
551	경희대	4
552	프로그래밍기초	0
553	기말때	2
554	도로	0
555	4번	3
556	당신	3
557	입장	4
558	숙제	0
559	생물	0
560	간	2
561	화학1	3
562	하나하나	2
563	ㅇㅇ	0
564	ㅅ	0
565	은근	3
566	포	0
567	기회	1
568	오태호	3
569	ㅈ	2
570	사용	2
571	신	4
572	고민	1
573	1학년	2
574	덕분	3
575	물리학1	1
576	확인	2
577	돈	1
578	누	3
579	지정	0
580	공학과경영	3
581	아래	3
582	절대평가	2
583	달	0
584	고생	0
585	꺼	1
586	등록금	3
587	연강	2
588	중요하다	0
589	움	1
590	강의실	1
591	화학	4
592	핸드폰	2
593	길	3
594	공대	3
595	필자	4
596	경험	1
597	발	3
598	암	3
599	빡	4
600	랜덤	1
601	현장활동	0
602	계속	1
603	일반생물	4
604	밖	2
605	8	3
606	생물1	3
607	방향	1
608	마라	3
609	미분적분학	2
610	포함	0
611	선배	1
612	입	1
613	첨삭	2
614	국제	4
615	김인석	4
616	일반화학	3
617	칠판	0
618	지문	2
619	구성	0
620	실제	1
621	레	3
622	옴	3
623	윤민희	0
624	겐	2
625	성향	4
626	최종	1
627	ㅜ	3
628	난이	0
629	시험때	3
630	양이	0
631	안주	3
632	계획서	1
633	평면디자인	2
634	능력	0
635	당황	4
636	2학기	4
637	이분	2
638	해석	3
639	단	0
640	폭격기	2
641	수강생	3
642	선	4
643	처리	2
644	30분	4
645	지도	1
646	답변	0
647	김은하	3
648	기말시험	3
649	오일환	3
650	시험지	1
651	핵심	0
652	과학	2
653	박상용	3
654	분석	3
655	2주	4
656	문법	0
657	실	1
658	직접	3
659	저희	0
660	1점	0
661	비쁠	4
662	그때	0
663	한국어	1
664	정도로	1
665	수있음	3
666	거랑	2
667	2개	0
668	보임	2
669	ㄷ	0
670	하라	4
671	파악	3
672	작품	1
673	ㅂ	1
674	등등	3
675	계획	0
676	답안	3
677	착하	2
678	아무것	4
679	단답형	0
680	나도	1
681	다양	2
682	그림	4
683	비교	0
684	강의평가	0
685	지적	4
686	추가	3
687	조사	4
688	무리	3
689	개인과제	2
690	자랑	1
691	인터넷	4
692	키워드	0
693	상	4
694	공학	1
695	파트	3
696	윤	2
697	대비	4
698	총	0
699	Brian	4
700	경제	4
701	Chol	4
702	미적	2
703	계절	3
704	성의	2
705	개별	4
706	수정	4
707	Hyon	0
708	컴	1
709	Brown	2
710	폰	2
711	가산점	3
712	독	1
713	회로	4
714	여우	2
715	Economics	2
716	내심	0
717	언어	2
718	매시간	4
719	50	0
720	원	2
721	프로그래밍	1
722	한마디	2
723	Arundel	2
724	열의	2
725	1시간	3
726	인간적	2
727	예습	0
728	감점	1
729	상담	1
730	지금	3
731	꿀강의	2
732	운	4
733	벼락	4
734	프로	2
735	5개	0
736	초급	4
737	반복	2
738	유리	2
739	급	1
740	팁	3
741	학우	1
742	순	4
743	아침	1
744	칼	1
745	전자	4
746	호명	2
747	제	4
748	커버	4
749	가도	3
750	상관	4
751	분임	4
752	만약	4
753	주세	2
754	5번	1
755	사진	0
756	미	2
757	정의진	1
758	민	1
759	박	4
760	증명	0
761	영	0
762	쓰레기	0
763	자세	1
764	신입생	4
765	강좌	2
766	난	2
767	첨	3
768	필	3
769	애초	2
770	사이	0
771	정정	3
772	주관적	1
773	60	2
774	당일	0
775	상황	0
776	인자	4
777	거지	4
778	누구	2
779	정신	3
780	칭찬	2
781	불편	1
782	치	3
783	한글	3
784	열역학	1
785	리포트	2
786	선생님	2
787	완벽	4
788	시기	0
789	치심	4
790	5점	0
791	유	1
792	본	0
793	디지털디자인	2
794	인지	1
795	최인자	2
796	배	0
797	법,질서,국가	3
798	고봉준	2
799	대학교	2
800	아	3
801	귀여우심	1
802	퀄리티	0
803	니	4
804	의식	0
805	한	3
806	객관적	0
807	행복이란무엇인가	4
808	결과물	1
809	회로이론	1
810	이준태	1
811	의문	1
812	90	0
813	박대진	2
814	초	0
815	역학	4
816	정확	4
817	적인	4
818	속	4
819	한국	1
820	개그	2
821	서명구	3
822	핵	2
823	중국	2
824	논리	4
825	대화	4
826	스마트식생활과건강	4
827	80	0
828	3시간	4
829	박시홍	2
830	고등학교때	4
831	중요시	4
832	강의내용	3
833	ㄴ	3
834	언급	3
835	경향	1
836	예상문제	0
837	클라스	3
838	이용	1
839	표현	2
840	제외	1
841	Johnson	0
842	Arthur	3
843	John	1
844	여러분	4
845	내서	0
846	최소	0
847	다섯	2
848	전자기학I	2
849	하면서	4
850	량	4
851	사고	1
852	책내용	3
853	에이대	2
854	천사	1
855	운동과체중관리	3
856	이수	1
857	쯤	1
858	존재	3
859	집	0
860	바탕	4
861	에이제로	4
862	조별	0
863	퍼센트	0
864	정보	1
865	소프트웨어적사유	0
866	독후감	0
867	최재구	2
868	정말	1
869	테	1
870	인원	1
871	9시	2
872	Political	4
873	엄마	4
874	인간	4
875	활용	3
876	융통성	2
877	외국인	4
878	내신	3
879	고통	2
880	주변	1
881	오세정	2
882	호불호	1
883	이윤성	2
884	한형주	3
885	이득	0
886	응용	3
887	남자	4
888	이병수	2
889	설명도	1
890	확률및랜덤변수	2
891	판서	0
892	보장	4
893	이진오	3
894	곳	0
895	고원	4
896	최진혁	0
897	생활	0
898	순간	4
899	차지	1
900	오라	4
901	윤원근	1
902	예술과디자인의이해	2
903	최	0
904	마셈	4
905	노답	4
906	10분	3
907	정치적	2
908	중간때	0
909	중간기	1
910	주실	4
911	바람	3
912	절반	3
913	직전	1
914	검사	2
915	너	1
916	공지	3
917	김명섭	2
918	아이	3
919	킹	2
920	재료역학	3
921	12	2
922	상식	4
923	영어수업	3
924	아이디어	0
925	이건	2
926	열	4
927	무시	3
928	민승기	1
929	결정	1
930	조언	1
931	현	1
932	악기의탄생:동서양음악의문명사	0
933	농담	2
934	여자	2
935	김병진	4
936	Science	3
937	스포츠와경제	3
938	김활란	1
939	행복	1
940	공학수학1	4
941	문학	3
942	예시	4
943	어이	0
944	물리학및실험2	3
945	혜	1
946	ㅊ	3
947	의지	1
948	양걸	2
949	입체디자인	1
950	존중	2
951	유도	3
952	문영희	1
953	컴퓨터	0
954	걸	3
955	참여도	4
956	김세영	3
957	자주	0
958	이슈	1
959	곽봉재	2
960	마니	1
961	정태충	3
962	그날	0
963	and	0
964	대체과제	0
965	Roger	2
966	설계	3
967	장민환	2
968	Thompson	3
969	을	3
970	쉅	0
971	강평	1
972	국제학과	4
973	Oersen	3
974	러	2
975	강준호	0
976	프로그램	1
977	Sheridene	1
978	안내	1
979	조장	2
980	유명	1
981	Barbara	2
982	조현준	1
983	배경	0
984	감상	2
985	무조건	1
986	세	3
987	캐리	1
988	4개	0
989	시사	2
990	Hau	4
991	한춘순	1
992	라도	2
993	김성수	3
994	Liet	4
995	거리	3
996	빈칸	1
997	님	1
998	제시	0
999	강사	3
1000	김기국	1
1001	중심	1
1002	이성원	2
1003	1학점	0
1004	Hoan	2
1005	가치	1
1006	정연모	1
1007	애정	2
1008	이하	4
1009	2문제	0
1010	합창의재발견	1
1011	1개	0
1012	이현수	4
1013	기말과제	2
1014	두개	4
1015	정의	3
1016	실망	4
1017	학번	4
1018	문자	0
1019	이전	2
1020	15분	3
1021	문제도	2
1022	내면	4
1023	70	1
1024	게	2
1025	상태	4
1026	침	3
1027	알	3
1028	편이	2
1029	똥	4
1030	맞춤법	3
1031	실습	0
1032	자습	2
1033	팅	4
1034	기초스페인어	3
1035	뒷자리	3
1036	졸업	4
1037	고급	4
1038	주관	1
1039	수능	0
1040	유일	2
1041	할거	0
1042	김태영	3
1043	수업태도	0
1044	수가	4
1045	현대미술사	4
1046	정치색	1
1047	포인트	3
1048	해당	4
1049	인성	4
1050	스스로	3
1051	절	2
1052	4학년	0
1053	가르	2
1054	컴퓨터구조	1
1055	선정	2
1056	존경	4
1057	2학년	0
1058	강의평	2
1059	이경석	2
1060	세상	2
1061	중국어	4
1062	이틀	2
1063	약	0
1064	대학생	0
1065	노잼	3
1066	마찬가지	2
1067	흠	4
1068	가기	0
1069	녹음	3
1070	시다	1
1071	특징	3
1072	동아시아문명론	3
1073	틀	2
1074	학기말	4
1075	이지만	1
1076	짜증	4
1077	Business	3
1078	관리	3
1079	동역학	4
1080	총평	1
1081	짬	4
1082	공학수학2	4
1083	강의시간	2
1084	본문	2
1085	이삼출	4
1086	개인발표	0
1087	유재수	2
1088	대생	4
1089	이영식	2
1090	중간시험	4
1091	연구	1
1092	플러스	4
1093	최현민	2
1094	임대영	3
1095	참	4
1096	코드	2
1097	고요	0
1098	김영진	2
1099	요소	0
1100	완성	4
1101	김은정	0
1102	옆	1
1103	3문제	0
1104	코딩	2
1105	노영숙	2
1106	철	2
1107	5문제	3
1108	기출문제	0
1109	수업준비	1
1110	용어	0
1111	링	3
1112	발언	2
1113	상대	3
1114	식이	0
1115	있으	2
1116	음악	3
1117	Andrew	3
1118	신호와시스템	1
1119	어	3
1120	제때	0
1121	얼마	1
1122	에프	0
1123	정순국	1
1124	강의자료	2
1125	이것저것	3
1126	홍희기	4
1127	논리적	3
1128	한자	0
1129	Stewart	1
1130	감안	1
1131	학습	4
1132	한국역사와문화	2
1133	James	3
1134	윤종희	2
1135	연관	4
1136	Eleanor	2
1137	각자	3
1138	공정	2
1139	해주심	0
1140	Anne	0
1141	1등	1
1142	백	4
1143	합평	0
1144	Clark	0
1145	노트북	3
1146	감동	4
1147	최대	1
1148	기한	1
1149	유체역학	1
1150	노상균	1
1151	금요일	1
1152	김경훈	3
1153	파이	0
1154	시험점수	0
1155	김혜란	3
1156	적용	3
1157	해결	0
1158	시험전	3
1159	가르치심	2
1160	화장실	2
1161	열전달	0
1162	공부안	4
1163	재료	3
1164	정작	4
1165	이대호	3
1166	계절학기	2
1167	부여	1
1168	체	1
1169	마인드	2
1170	사	2
1171	공식	2
1172	도중	3
1173	관	4
1174	드랍	2
1175	김민전	1
1176	꼴	4
1177	마세요	4
1178	착하심	1
1179	보	0
1180	인문학	3
1181	요	2
1182	진정	4
1183	밋	1
1184	김태경	0
1185	임형진	1
1186	타임	0
1187	빅	0
1188	순서	1
1189	단순	3
1190	수업자료	1
1191	글씨	3
1192	아무	2
1193	한국사회의정치적이슈들	4
1194	우선	4
1195	문화	1
1196	뜻	1
1197	고려	0
1198	내년	3
1199	이성근	2
1200	종이	4
1201	김용평	3
1202	작년	0
1203	권영하	2
1204	미분방정식	3
1205	홍상훈	4
1206	논술형	0
1207	키	1
1208	뒷	4
1209	시대	1
1210	경영	3
1211	5분	1
1212	말로	1
1213	이해도	1
1214	피곤	0
1215	진은진	3
1216	철학적	2
1217	오기	1
1218	한국말	3
1219	노래	2
1220	Relations	2
1221	내도	3
1222	교과서	4
1223	Lawrence	4
1224	수업진행	0
1225	특이	3
1226	사례	1
1227	무임승차	2
1228	Rueter	3
1229	김성일	2
1230	발전	4
1231	굿	2
1232	파일	2
1233	취향	0
1234	남영석	4
1235	물리전자	4
1236	Craig	1
1237	이제	2
1238	SohYoung	4
1239	Cynthia	4
1240	내기	2
1241	이병태	2
1242	Joshua	2
1243	체계적	4
1244	최명진	3
1245	비마	3
1246	검색	1
1247	타스	1
1248	Lee	2
1249	향상	4
1250	첵	2
1251	교수님임	1
1252	Hue	2
1253	공학과윤리	2
1254	일반물리	4
1255	취업	3
1256	팀발표	2
1257	엄혜진	2
1258	후배	4
1259	Yoo	2
1260	조발표	0
1261	동기	4
1262	나라	3
1263	이광훈	3
1264	중간고사때	0
1265	인건	0
1266	이미선	2
1267	풀	1
1268	넘	2
1269	화학2	4
1270	세도	1
1271	비플	0
1272	고학년	3
1273	EUN-KYUNG	2
1274	작문	3
1275	편안	4
1276	폭탄	2
1277	가르침	4
1278	낭비	4
1279	명이	4
1280	영어실력	3
1281	일반	2
1282	문단	3
1283	게다	0
1284	분만	3
1285	많으	1
1286	콘	3
1287	김영훈	3
1288	텍스트	4
1289	비제로	2
1290	강의계획서	1
1291	괜	1
1292	유병래	1
1293	4점	3
1294	목표	0
1295	STEPHANIE	0
1296	가요	3
1297	에이마	2
1298	강요	2
1299	RHEE	0
1300	100점	1
1301	불만	4
1302	토론식	3
1303	유머	4
1304	신광순	1
1305	덕	2
1306	출신	0
1307	테스트	0
1308	후마니타스세미나	1
1309	소설	2
1310	페이퍼	3
1311	임승필	4
1312	철저	3
1313	폭	0
1314	약술	0
1315	원리	0
1316	용	3
1317	스페인	2
1318	솔루션	1
1319	박성일	1
1320	모	4
1321	김종원	4
1322	번정도	0
1323	자신감	0
1324	지엽적	0
1325	기술	3
1326	사정	3
1327	혼자공부	0
1328	이메일	4
1329	불가능	0
1330	제작	3
1331	for	1
1332	이영월	3
1333	신충식	4
1334	말투	1
1335	읽기	1
1336	연결	0
1337	르	1
1338	오영호	3
1339	시험준비	0
1340	6번	3
1341	구조	1
1342	여화선	2
1343	친절하심	3
1344	전흥신	1
1345	2시간	2
1346	대학수업	4
1347	에이포	4
1348	없으	1
1349	의	4
1350	인상	3
1351	10문제	0
1352	박선애	3
1353	김연숙	1
1354	다행	3
1355	인가	3
1356	교수님자체	4
1357	조심	1
1358	양훈도	1
1359	탓	1
1360	박수	4
1361	적도	1
1362	라면	2
1363	공감	3
1364	적응	1
1365	최상아	0
1366	공개	4
1367	최윤희	4
1368	힌트	3
1369	경제학적사유의원리	1
1370	사상	1
1371	이정	3
1372	강희원	2
1373	커리큘럼	1
1374	있으심	2
1375	에타	2
1376	여유	0
1377	잘못	2
1378	도서관	0
1379	수록	2
1380	유재명	4
1381	의의	3
1382	반대	4
1383	양도	0
1384	사전	3
1385	생명	2
1386	조건	2
1387	힐링	3
1388	종	3
1389	김정현	4
1390	대출	2
1391	보강	0
1392	계열	3
1393	1회	0
1394	젠	1
1395	이창수	0
1396	버스	0
1397	이명원	1
1398	그만큼	4
1399	맨	3
1400	안지연	1
1401	폭격	0
1402	과목자체	0
1403	보기	0
1404	마이너스	4
1405	이래	1
1406	깨	3
1407	회화	2
1408	한창용	2
1409	강의임	4
1410	코멘트	4
1411	대본	3
1412	각오	3
1413	새	1
1414	플밍	0
1415	아재	3
1416	꼰대	3
1417	신혜영	2
1418	출하	0
1419	영어강의	2
1420	황수현	3
1421	김광섭	2
1422	우사세도	1
1423	패스	3
1424	세미나	4
1425	충	2
1426	술	0
1427	김명준	1
1428	윤재승	3
1429	엿	1
1430	승	4
1431	차별	1
1432	정성	1
1433	유인물	2
1434	이과생	1
1435	포트폴리오	2
1436	구체적	4
1437	발표자	0
1438	허동현	1
1439	김기영	3
1440	자유이수	4
1441	4문제	0
1442	조가	4
1443	16	3
1444	박정주	0
1445	좌석	2
1446	주효연	4
1447	사항	1
1448	이산구조	1
1449	임옥희	2
1450	20분	3
1451	기반	3
1452	3점	0
1453	편의	2
1454	요점	3
1455	막판	2
1456	서평	0
1457	평가기준	3
1458	딩	4
1459	내주심	0
1460	대형	1
1461	무언가	1
1462	함정	3
1463	Economy	0
1464	말하기	0
1465	다가	0
1466	강의라	1
1467	총점	3
1468	일정	4
1469	후기	1
1470	독강	3
1471	작업	4
1472	이때	4
1473	학기중	1
1474	나이	2
1475	주일	1
1476	단락	0
1477	랩	4
1478	최선	3
1479	송현석	3
1480	전자회로I	1
1481	이영수	3
1482	공연	2
1483	I	0
1484	박현주	1
1485	윤분희	2
1486	일본	3
1487	문제풀이	0
1488	문과생	1
1489	공학수학	3
1490	만들기	3
1491	떄	4
1492	수업시작	2
1493	상대적	3
1494	통계학	4
1495	기계	1
1496	매수업	0
1497	갑	1
1498	운동	0
1499	으심	3
1500	톤	3
1501	잡담	1
1502	동의	3
1503	해오	1
1504	프린트물	3
1505	천	1
1506	보충	3
1507	몸	4
1508	함선미	1
1509	한세진	2
1510	욕	2
1511	그중	1
1512	장난	3
1513	후마니타스	2
1514	배경지식	3
1515	휴대폰	0
1516	응용재료역학	1
1517	정창수	2
1518	길재호	0
1519	김현수	0
1520	사업	1
1521	발암	4
1522	연극	2
1523	분명	4
1524	배세은	3
1525	정시	4
1526	숙지	3
1527	목적	1
1528	부르심	4
1529	펌	2
1530	9시수업	2
1531	행동	4
1532	년도	2
1533	우주	4
1534	신인숙	1
1535	러스트	2
1536	리얼	0
1537	시스템	1
1538	소문	2
1539	리딩	4
1540	문병순	3
1541	불	4
1542	이은진	3
1543	별개	3
1544	한치근	1
1545	통	0
1546	조정완	4
1547	내시	3
1548	최이송	3
1549	앞뒤	0
1550	탈	1
1551	김민철	2
1552	출석부	2
1553	재료과학	4
1554	안일주	2
1555	하셈	3
1556	난해	3
1557	이외	1
1558	한편	3
1559	올해	4
1560	가능성	1
1561	빨	4
1562	국제어에스페란토	1
1563	심양희	2
1564	와요	2
1565	민진영	1
1566	김윤희	2
1567	예철해	4
1568	포토샵	1
1569	매주	1
1570	신현욱	3
1571	2학점	4
1572	정치학적사유의원리	2
1573	창	3
1574	박수종	1
1575	허유	4
1576	이내	2
1577	홍	4
1578	정원석	4
1579	반응	4
1580	정역학	3
1581	가야	4
1582	0점	2
1583	협조	2
1584	2점	4
1585	횟수	0
1586	뒤통수	4
1587	득점	0
1588	주장	1
1589	판단	1
1590	인권	0
1591	예윤해	4
1592	들	2
1593	김동한	0
1594	호	2
1595	권만학	1
1596	성	1
1597	기본적인	3
1598	이중기	3
1599	비추천	1
1600	인강	2
1601	석승민	1
1602	상상	2
1603	단계	0
1604	다운	3
1605	II	3
1606	각	4
1607	닝	3
1608	특정	2
1609	삶	2
1610	스피킹	3
1611	예전	1
1612	보라	3
1613	미적분	3
1614	실패	2
1615	이정민	4
1616	자필	0
1617	송종서	3
1618	10개	0
1619	생이	3
1620	빅문	4
1621	밥	2
1622	랄	1
1623	조절	1
1624	캠퍼스	0
1625	답안지	3
1626	ㅅㅂ	3
1627	눈치	1
1628	우주:별을잊은그대에게	4
1629	서덕영	3
1630	저번	0
1631	홍범일	2
1632	정답	0
1633	찬양	4
1634	Finance	3
1635	수강평	0
1636	조은영	3
1637	김효수	3
1638	냥	3
1639	예정	2
1640	제목	0
1641	앞쪽	2
1642	기라	4
1643	모름	2
1644	기법	1
1645	아재개그	1
1646	일일	2
1647	응용유체역학	2
1648	수강자	4
1649	실험통계학	0
1650	댐	1
1651	체대	2
1652	Bazan	2
1653	비실기	2
1654	유지훈	2
1655	그래픽및공학설계	3
1656	이기라	3
1657	훈	1
1658	업	4
1659	1주일	0
1660	최인경	3
1661	남궁윤미	0
1662	잔소리	2
1663	밤	0
1664	평점	2
1665	시각	4
1666	놈	2
1667	백운식	1
1668	댓	3
1669	물론	0
1670	생2	4
1671	기사	1
1672	플젝	0
1673	숫자	2
1674	워	4
1675	광	2
1676	화	4
1677	전형적	3
1678	승기	2
1679	오류	0
1680	컴퓨터공학개론	2
1681	의심	1
1682	프	4
1683	마무리	3
1684	정일영	4
1685	표	1
1686	방	1
1687	인기	2
1688	내외	1
1689	생공	3
1690	허윤정	2
1691	김동혁	0
1692	등수	0
1693	십	2
1694	최진환	3
1695	기보	1
1696	이사라	3
1697	교시	0
1698	낙원과유토피아의상상력	3
1699	스페인어	1
1700	형태	0
1701	기계진동	4
1702	Studies	2
1703	박찬종	2
1704	관계	1
1705	서동은	2
1706	이진원	2
1707	데일리	1
1708	웠	1
1709	5장	3
1710	개개인	2
1711	장짜리	0
1712	노력하심	1
1713	인문학과문화콘텐츠	3
1714	강의중	0
1715	유해정	0
1716	ELISENDA	3
1717	담	1
1718	요약본	3
1719	FABREGAS	3
1720	이지영	1
1721	과제제출	1
1722	원서	4
1723	독서	4
1724	유머러스	1
1725	객체지향프로그래밍	3
1726	박진옥	2
1727	클래식	3
1728	김형석	3
1729	이선구	1
1730	우탁	2
1731	ㅁ	0
1732	고전	3
1733	관점	1
1734	프랑스	2
1735	Social	0
1736	의도	2
1737	Statistics	2
1738	새내기	4
1739	아쉬움	2
1740	표정	1
1741	최범석	3
1742	김은혜	1
